date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-24,古建筑,douyin,铝瓦,1,铝瓦价格,https://www.douyin.com/search/铝瓦,data/output/screenshots/2025-10-24/古建筑/铝瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝瓦,2,铝瓦安装,https://www.douyin.com/search/铝瓦,data/output/screenshots/2025-10-24/古建筑/铝瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝瓦,3,铝瓦厂家,https://www.douyin.com/search/铝瓦,data/output/screenshots/2025-10-24/古建筑/铝瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝瓦,4,铝瓦规格,https://www.douyin.com/search/铝瓦,data/output/screenshots/2025-10-24/古建筑/铝瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝瓦,5,铝瓦施工,https://www.douyin.com/search/铝瓦,data/output/screenshots/2025-10-24/古建筑/铝瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,斗拱,1,斗拱结构,https://www.douyin.com/search/斗拱,data/output/screenshots/2025-10-24/古建筑/斗拱_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,斗拱,2,斗拱制作,https://www.douyin.com/search/斗拱,data/output/screenshots/2025-10-24/古建筑/斗拱_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,斗拱,3,斗拱设计,https://www.douyin.com/search/斗拱,data/output/screenshots/2025-10-24/古建筑/斗拱_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,斗拱,4,斗拱安装,https://www.douyin.com/search/斗拱,data/output/screenshots/2025-10-24/古建筑/斗拱_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,斗拱,5,斗拱工艺,https://www.douyin.com/search/斗拱,data/output/screenshots/2025-10-24/古建筑/斗拱_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝代木,1,铝代木材料,https://www.douyin.com/search/铝代木,data/output/screenshots/2025-10-24/古建筑/铝代木_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝代木,2,铝代木价格,https://www.douyin.com/search/铝代木,data/output/screenshots/2025-10-24/古建筑/铝代木_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝代木,3,铝代木厂家,https://www.douyin.com/search/铝代木,data/output/screenshots/2025-10-24/古建筑/铝代木_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝代木,4,铝代木安装,https://www.douyin.com/search/铝代木,data/output/screenshots/2025-10-24/古建筑/铝代木_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝代木,5,铝代木工艺,https://www.douyin.com/search/铝代木,data/output/screenshots/2025-10-24/古建筑/铝代木_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铜瓦,1,铜瓦价格,https://www.douyin.com/search/铜瓦,data/output/screenshots/2025-10-24/古建筑/铜瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铜瓦,2,铜瓦安装,https://www.douyin.com/search/铜瓦,data/output/screenshots/2025-10-24/古建筑/铜瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铜瓦,3,铜瓦厂家,https://www.douyin.com/search/铜瓦,data/output/screenshots/2025-10-24/古建筑/铜瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铜瓦,4,铜瓦规格,https://www.douyin.com/search/铜瓦,data/output/screenshots/2025-10-24/古建筑/铜瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铜瓦,5,铜瓦施工,https://www.douyin.com/search/铜瓦,data/output/screenshots/2025-10-24/古建筑/铜瓦_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝构件,1,铝构件厂家,https://www.douyin.com/search/铝构件,data/output/screenshots/2025-10-24/古建筑/铝构件_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝构件,2,铝构件价格,https://www.douyin.com/search/铝构件,data/output/screenshots/2025-10-24/古建筑/铝构件_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝构件,3,铝构件安装,https://www.douyin.com/search/铝构件,data/output/screenshots/2025-10-24/古建筑/铝构件_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝构件,4,铝构件规格,https://www.douyin.com/search/铝构件,data/output/screenshots/2025-10-24/古建筑/铝构件_20251024_123154.txt,FALLBACK
2025-10-24,古建筑,douyin,铝构件,5,铝构件工艺,https://www.douyin.com/search/铝构件,data/output/screenshots/2025-10-24/古建筑/铝构件_20251024_123154.txt,FALLBACK
